HOUR,COUNTY_DESC,REPORT_TYPE,COUNT
0,Anne Arundel,Fatal Crash,9
0,Anne Arundel,Injury Crash,243
0,Anne Arundel,Property Damage Crash,813
0,Baltimore,Fatal Crash,10
0,Baltimore,Injury Crash,489
0,Baltimore,Property Damage Crash,3124
0,Calvert,Fatal Crash,1
0,Calvert,Injury Crash,31
0,Calvert,Property Damage Crash,88
0,Howard,Fatal Crash,9
0,Howard,Injury Crash,102
0,Howard,Property Damage Crash,313
0,Montgomery,Fatal Crash,6
0,Montgomery,Injury Crash,306
0,Montgomery,Property Damage Crash,924
1,Anne Arundel,Fatal Crash,11
1,Anne Arundel,Injury Crash,201
1,Anne Arundel,Property Damage Crash,710
1,Baltimore,Fatal Crash,9
1,Baltimore,Injury Crash,390
1,Baltimore,Property Damage Crash,1779
1,Calvert,Fatal Crash,1
1,Calvert,Injury Crash,17
1,Calvert,Property Damage Crash,77
1,Howard,Fatal Crash,5
1,Howard,Injury Crash,69
1,Howard,Property Damage Crash,262
1,Montgomery,Fatal Crash,8
1,Montgomery,Injury Crash,259
1,Montgomery,Property Damage Crash,733
2,Anne Arundel,Fatal Crash,9
2,Anne Arundel,Injury Crash,177
2,Anne Arundel,Property Damage Crash,674
2,Baltimore,Fatal Crash,8
2,Baltimore,Injury Crash,384
2,Baltimore,Property Damage Crash,1606
2,Calvert,Fatal Crash,1
2,Calvert,Injury Crash,17
2,Calvert,Property Damage Crash,68
2,Howard,Fatal Crash,9
2,Howard,Injury Crash,61
2,Howard,Property Damage Crash,255
2,Montgomery,Fatal Crash,3
2,Montgomery,Injury Crash,219
2,Montgomery,Property Damage Crash,708
3,Anne Arundel,Fatal Crash,6
3,Anne Arundel,Injury Crash,120
3,Anne Arundel,Property Damage Crash,481
3,Baltimore,Fatal Crash,12
3,Baltimore,Injury Crash,225
3,Baltimore,Property Damage Crash,1112
3,Calvert,Fatal Crash,1
3,Calvert,Injury Crash,17
3,Calvert,Property Damage Crash,71
3,Howard,Fatal Crash,6
3,Howard,Injury Crash,53
3,Howard,Property Damage Crash,203
3,Montgomery,Fatal Crash,8
3,Montgomery,Injury Crash,205
3,Montgomery,Property Damage Crash,677
4,Anne Arundel,Fatal Crash,4
4,Anne Arundel,Injury Crash,147
4,Anne Arundel,Property Damage Crash,441
4,Baltimore,Fatal Crash,5
4,Baltimore,Injury Crash,181
4,Baltimore,Property Damage Crash,933
4,Calvert,Injury Crash,20
4,Calvert,Property Damage Crash,77
4,Howard,Fatal Crash,5
4,Howard,Injury Crash,58
4,Howard,Property Damage Crash,197
4,Montgomery,Fatal Crash,6
4,Montgomery,Injury Crash,226
4,Montgomery,Property Damage Crash,590
5,Anne Arundel,Fatal Crash,12
5,Anne Arundel,Injury Crash,203
5,Anne Arundel,Property Damage Crash,633
5,Baltimore,Fatal Crash,4
5,Baltimore,Injury Crash,316
5,Baltimore,Property Damage Crash,1159
5,Calvert,Fatal Crash,1
5,Calvert,Injury Crash,23
5,Calvert,Property Damage Crash,109
5,Howard,Fatal Crash,5
5,Howard,Injury Crash,100
5,Howard,Property Damage Crash,337
5,Montgomery,Fatal Crash,8
5,Montgomery,Injury Crash,394
5,Montgomery,Property Damage Crash,786
6,Anne Arundel,Fatal Crash,7
6,Anne Arundel,Injury Crash,362
6,Anne Arundel,Property Damage Crash,977
6,Baltimore,Fatal Crash,8
6,Baltimore,Injury Crash,640
6,Baltimore,Property Damage Crash,1881
6,Calvert,Fatal Crash,2
6,Calvert,Injury Crash,50
6,Calvert,Property Damage Crash,144
6,Howard,Fatal Crash,1
6,Howard,Injury Crash,168
6,Howard,Property Damage Crash,528
6,Montgomery,Fatal Crash,2
6,Montgomery,Injury Crash,620
6,Montgomery,Property Damage Crash,1213
7,Anne Arundel,Fatal Crash,5
7,Anne Arundel,Injury Crash,640
7,Anne Arundel,Property Damage Crash,1479
7,Baltimore,Fatal Crash,6
7,Baltimore,Injury Crash,1038
