MONTH,COUNTY_DESC,REPORT_TYPE,COUNT
1,Anne Arundel,Fatal Crash,14
1,Anne Arundel,Injury Crash,1509
1,Anne Arundel,Property Damage Crash,3938
1,Howard,Fatal Crash,11
1,Howard,Injury Crash,494
1,Howard,Property Damage Crash,1616
1,Montgomery,Fatal Crash,12
1,Montgomery,Injury Crash,2298
1,Montgomery,Property Damage Crash,5058
1,Prince Georges,Fatal Crash,45
1,Prince Georges,Injury Crash,2279
1,Prince Georges,Property Damage Crash,7557
1,Queen Annes,Fatal Crash,4
1,Queen Annes,Injury Crash,100
1,Queen Annes,Property Damage Crash,277
2,Anne Arundel,Fatal Crash,26
2,Anne Arundel,Injury Crash,1492
2,Anne Arundel,Property Damage Crash,3642
2,Howard,Fatal Crash,5
2,Howard,Injury Crash,475
2,Howard,Property Damage Crash,1504
2,Montgomery,Fatal Crash,18
2,Montgomery,Injury Crash,2100
2,Montgomery,Property Damage Crash,4412
2,Prince Georges,Fatal Crash,41
2,Prince Georges,Injury Crash,2319
2,Prince Georges,Property Damage Crash,7223
2,Queen Annes,Fatal Crash,2
2,Queen Annes,Injury Crash,93
2,Queen Annes,Property Damage Crash,287
3,Anne Arundel,Fatal Crash,24
3,Anne Arundel,Injury Crash,1619
3,Anne Arundel,Property Damage Crash,3606
3,Howard,Fatal Crash,11
3,Howard,Injury Crash,490
3,Howard,Property Damage Crash,1427
3,Montgomery,Fatal Crash,20
3,Montgomery,Injury Crash,2152
3,Montgomery,Property Damage Crash,4590
3,Prince Georges,Fatal Crash,47
3,Prince Georges,Injury Crash,2454
3,Prince Georges,Property Damage Crash,7579
3,Queen Annes,Fatal Crash,3
3,Queen Annes,Injury Crash,111
3,Queen Annes,Property Damage Crash,292
4,Anne Arundel,Fatal Crash,20
4,Anne Arundel,Injury Crash,1528
4,Anne Arundel,Property Damage Crash,3523
4,Howard,Fatal Crash,11
4,Howard,Injury Crash,510
4,Howard,Property Damage Crash,1443
4,Montgomery,Fatal Crash,15
4,Montgomery,Injury Crash,2185
4,Montgomery,Property Damage Crash,4428
4,Prince Georges,Fatal Crash,46
4,Prince Georges,Injury Crash,2494
4,Prince Georges,Property Damage Crash,7205
4,Queen Annes,Fatal Crash,6
4,Queen Annes,Injury Crash,104
4,Queen Annes,Property Damage Crash,226
5,Anne Arundel,Fatal Crash,30
5,Anne Arundel,Injury Crash,1847
5,Anne Arundel,Property Damage Crash,4241
5,Howard,Fatal Crash,14
5,Howard,Injury Crash,610
5,Howard,Property Damage Crash,1696
5,Montgomery,Fatal Crash,14
5,Montgomery,Injury Crash,2513
5,Montgomery,Property Damage Crash,5068
5,Prince Georges,Fatal Crash,54
5,Prince Georges,Injury Crash,2781
5,Prince Georges,Property Damage Crash,8480
5,Queen Annes,Fatal Crash,4
5,Queen Annes,Injury Crash,140
5,Queen Annes,Property Damage Crash,343
6,Anne Arundel,Fatal Crash,26
6,Anne Arundel,Injury Crash,1814
6,Anne Arundel,Property Damage Crash,3815
6,Howard,Fatal Crash,12
6,Howard,Injury Crash,539
6,Howard,Property Damage Crash,1539
6,Montgomery,Fatal Crash,22
6,Montgomery,Injury Crash,2446
6,Montgomery,Property Damage Crash,4442
6,Prince Georges,Fatal Crash,52
6,Prince Georges,Injury Crash,2549
6,Prince Georges,Property Damage Crash,7666
6,Queen Annes,Fatal Crash,2
6,Queen Annes,Injury Crash,144
6,Queen Annes,Property Damage Crash,302
7,Anne Arundel,Fatal Crash,27
7,Anne Arundel,Injury Crash,1786
7,Anne Arundel,Property Damage Crash,3894
7,Howard,Fatal Crash,13
7,Howard,Injury Crash,608
7,Howard,Property Damage Crash,1611
7,Montgomery,Fatal Crash,19
7,Montgomery,Injury Crash,2538
7,Montgomery,Property Damage Crash,4782
7,Prince Georges,Fatal Crash,54
7,Prince Georges,Injury Crash,2758
7,Prince Georges,Property Damage Crash,8243
7,Queen Annes,Fatal Crash,3
7,Queen Annes,Injury Crash,159
7,Queen Annes,Property Damage Crash,353
8,Anne Arundel,Fatal Crash,32
8,Anne Arundel,Injury Crash,1816
8,Anne Arundel,Property Damage Crash,3980
8,Howard,Fatal Crash,20
8,Howard,Injury Crash,554
8,Howard,Property Damage Crash,1583
8,Montgomery,Fatal Crash,22
8,Montgomery,Injury Crash,2473
8,Montgomery,Property Damage Crash,4664
8,Prince Georges,Fatal Crash,54
8,Prince Georges,Injury Crash,2743
