COUNTY_DESC,Fatal Crash,Injury Crash,Property Damage Crash
Allegany,43,1499,3097
Anne Arundel,299,20893,48049
Baltimore,306,32750,109792
Baltimore City,114,37333,90239
Calvert,57,2361,5309
Caroline,41,1054,2254
Carroll,92,3639,9791
Cecil,141,3378,8239
Charles,153,5738,13904
Dorchester,26,1308,2344
Frederick,150,7433,16292
Garrett,37,1135,2364
Harford,123,6471,16019
Howard,162,6701,19902
Kent,27,449,1068
Montgomery,239,29342,59092
Prince Georges,625,31678,97739
Queen Annes,40,1565,3847
Somerset,26,634,1456
St. Marys,96,4108,7282
Talbot,31,1699,3693
Washington,111,5173,12141
Wicomico,76,4938,9835
Worcester,79,2807,6668
