DAY,COUNTY_DESC,REPORT_TYPE,COUNT
0,Allegany,Fatal Crash,7
0,Allegany,Injury Crash,214
0,Allegany,Property Damage Crash,463
0,Anne Arundel,Fatal Crash,38
0,Anne Arundel,Injury Crash,2877
0,Anne Arundel,Property Damage Crash,6680
0,Baltimore,Fatal Crash,36
0,Baltimore,Injury Crash,4597
0,Baltimore,Property Damage Crash,15573
0,Baltimore City,Fatal Crash,19
0,Baltimore City,Injury Crash,5220
0,Baltimore City,Property Damage Crash,12478
0,Calvert,Fatal Crash,8
0,Calvert,Injury Crash,321
0,Calvert,Property Damage Crash,759
0,Caroline,Fatal Crash,4
0,Caroline,Injury Crash,152
0,Caroline,Property Damage Crash,284
0,Carroll,Fatal Crash,14
0,Carroll,Injury Crash,510
0,Carroll,Property Damage Crash,1434
0,Cecil,Fatal Crash,16
0,Cecil,Injury Crash,455
0,Cecil,Property Damage Crash,1144
0,Charles,Fatal Crash,15
0,Charles,Injury Crash,810
0,Charles,Property Damage Crash,1889
0,Dorchester,Fatal Crash,3
0,Dorchester,Injury Crash,211
0,Dorchester,Property Damage Crash,333
0,Frederick,Fatal Crash,19
0,Frederick,Injury Crash,1025
0,Frederick,Property Damage Crash,2359
0,Garrett,Fatal Crash,6
0,Garrett,Injury Crash,168
0,Garrett,Property Damage Crash,312
0,Harford,Fatal Crash,18
0,Harford,Injury Crash,920
0,Harford,Property Damage Crash,2241
0,Howard,Fatal Crash,26
0,Howard,Injury Crash,965
0,Howard,Property Damage Crash,2837
0,Kent,Fatal Crash,4
0,Kent,Injury Crash,58
0,Kent,Property Damage Crash,144
0,Montgomery,Fatal Crash,30
0,Montgomery,Injury Crash,4250
0,Montgomery,Property Damage Crash,8499
0,Prince Georges,Fatal Crash,80
0,Prince Georges,Injury Crash,4256
0,Prince Georges,Property Damage Crash,13052
0,Queen Annes,Fatal Crash,5
0,Queen Annes,Injury Crash,191
0,Queen Annes,Property Damage Crash,533
0,Somerset,Fatal Crash,3
0,Somerset,Injury Crash,87
0,Somerset,Property Damage Crash,220
0,St. Marys,Fatal Crash,15
0,St. Marys,Injury Crash,545
0,St. Marys,Property Damage Crash,999
0,Talbot,Fatal Crash,6
0,Talbot,Injury Crash,275
0,Talbot,Property Damage Crash,543
0,Washington,Fatal Crash,11
0,Washington,Injury Crash,735
0,Washington,Property Damage Crash,1690
0,Wicomico,Fatal Crash,10
0,Wicomico,Injury Crash,698
0,Wicomico,Property Damage Crash,1349
0,Worcester,Fatal Crash,5
0,Worcester,Injury Crash,353
0,Worcester,Property Damage Crash,903
1,Allegany,Fatal Crash,4
1,Allegany,Injury Crash,214
1,Allegany,Property Damage Crash,432
1,Anne Arundel,Fatal Crash,38
1,Anne Arundel,Injury Crash,3041
1,Anne Arundel,Property Damage Crash,6886
1,Baltimore,Fatal Crash,35
1,Baltimore,Injury Crash,4956
1,Baltimore,Property Damage Crash,15668
1,Baltimore City,Fatal Crash,23
1,Baltimore City,Injury Crash,5454
1,Baltimore City,Property Damage Crash,13233
1,Calvert,Fatal Crash,5
1,Calvert,Injury Crash,348
1,Calvert,Property Damage Crash,773
1,Caroline,Fatal Crash,9
1,Caroline,Injury Crash,147
1,Caroline,Property Damage Crash,310
1,Carroll,Fatal Crash,12
1,Carroll,Injury Crash,546
1,Carroll,Property Damage Crash,1488
1,Cecil,Fatal Crash,17
1,Cecil,Injury Crash,431
1,Cecil,Property Damage Crash,1090
1,Charles,Fatal Crash,20
1,Charles,Injury Crash,813
1,Charles,Property Damage Crash,1922
1,Dorchester,Fatal Crash,2
1,Dorchester,Injury Crash,177
1,Dorchester,Property Damage Crash,325
1,Frederick,Fatal Crash,23
1,Frederick,Injury Crash,1093
1,Frederick,Property Damage Crash,2354
1,Garrett,Fatal Crash,6
1,Garrett,Injury Crash,135
1,Garrett,Property Damage Crash,310
1,Harford,Fatal Crash,13
1,Harford,Injury Crash,911
1,Harford,Property Damage Crash,2349
1,Howard,Fatal Crash,23
1,Howard,Injury Crash,1012
1,Howard,Property Damage Crash,2993
1,Kent,Injury Crash,64
1,Kent,Property Damage Crash,144
1,Montgomery,Fatal Crash,27
1,Montgomery,Injury Crash,4542
1,Montgomery,Property Damage Crash,8855
1,Prince Georges,Fatal Crash,68
1,Prince Georges,Injury Crash,4420
1,Prince Georges,Property Damage Crash,13103
1,Queen Annes,Fatal Crash,3
1,Queen Annes,Injury Crash,224
1,Queen Annes,Property Damage Crash,499
1,Somerset,Fatal Crash,4
1,Somerset,Injury Crash,91
1,Somerset,Property Damage Crash,227
1,St. Marys,Fatal Crash,14
1,St. Marys,Injury Crash,604
1,St. Marys,Property Damage Crash,1046
1,Talbot,Fatal Crash,4
1,Talbot,Injury Crash,223
1,Talbot,Property Damage Crash,481
1,Washington,Fatal Crash,18
1,Washington,Injury Crash,714
1,Washington,Property Damage Crash,1723
1,Wicomico,Fatal Crash,6
1,Wicomico,Injury Crash,699
1,Wicomico,Property Damage Crash,1443
1,Worcester,Fatal Crash,11
1,Worcester,Injury Crash,345
1,Worcester,Property Damage Crash,843
2,Allegany,Fatal Crash,6
2,Allegany,Injury Crash,241
2,Allegany,Property Damage Crash,467
2,Anne Arundel,Fatal Crash,33
2,Anne Arundel,Injury Crash,3031
2,Anne Arundel,Property Damage Crash,6898
2,Baltimore,Fatal Crash,47
2,Baltimore,Injury Crash,4892
2,Baltimore,Property Damage Crash,15855
2,Baltimore City,Fatal Crash,14
2,Baltimore City,Injury Crash,5283
2,Baltimore City,Property Damage Crash,12805
2,Calvert,Fatal Crash,9
2,Calvert,Injury Crash,338
2,Calvert,Property Damage Crash,750
2,Caroline,Fatal Crash,7
2,Caroline,Injury Crash,135
2,Caroline,Property Damage Crash,336
2,Carroll,Fatal Crash,10
2,Carroll,Injury Crash,544
2,Carroll,Property Damage Crash,1509
2,Cecil,Fatal Crash,18
2,Cecil,Injury Crash,483
2,Cecil,Property Damage Crash,1122
2,Charles,Fatal Crash,21
2,Charles,Injury Crash,767
2,Charles,Property Damage Crash,1916
2,Dorchester,Fatal Crash,2
2,Dorchester,Injury Crash,197
2,Dorchester,Property Damage Crash,328
2,Frederick,Fatal Crash,14
2,Frederick,Injury Crash,1057
2,Frederick,Property Damage Crash,2362
2,Garrett,Fatal Crash,1
2,Garrett,Injury Crash,135
2,Garrett,Property Damage Crash,289
2,Harford,Fatal Crash,19
2,Harford,Injury Crash,943
2,Harford,Property Damage Crash,2359
2,Howard,Fatal Crash,21
2,Howard,Injury Crash,1039
2,Howard,Property Damage Crash,3016
2,Kent,Fatal Crash,5
2,Kent,Injury Crash,60
2,Kent,Property Damage Crash,132
2,Montgomery,Fatal Crash,27
2,Montgomery,Injury Crash,4395
2,Montgomery,Property Damage Crash,8931
2,Prince Georges,Fatal Crash,77
2,Prince Georges,Injury Crash,4501
2,Prince Georges,Property Damage Crash,12973
2,Queen Annes,Fatal Crash,6
2,Queen Annes,Injury Crash,237
2,Queen Annes,Property Damage Crash,555
2,Somerset,Fatal Crash,4
2,Somerset,Injury Crash,85
2,Somerset,Property Damage Crash,171
2,St. Marys,Fatal Crash,5
2,St. Marys,Injury Crash,607
2,St. Marys,Property Damage Crash,1048
2,Talbot,Fatal Crash,5
2,Talbot,Injury Crash,242
2,Talbot,Property Damage Crash,557
2,Washington,Fatal Crash,13
2,Washington,Injury Crash,755
2,Washington,Property Damage Crash,1699
2,Wicomico,Fatal Crash,10
2,Wicomico,Injury Crash,751
2,Wicomico,Property Damage Crash,1384
2,Worcester,Fatal Crash,8
2,Worcester,Injury Crash,362
2,Worcester,Property Damage Crash,786
3,Allegany,Fatal Crash,4
3,Allegany,Injury Crash,217
3,Allegany,Property Damage Crash,461
3,Anne Arundel,Fatal Crash,47
3,Anne Arundel,Injury Crash,3181
3,Anne Arundel,Property Damage Crash,7249
3,Baltimore,Fatal Crash,42
3,Baltimore,Injury Crash,4936
3,Baltimore,Property Damage Crash,16098
