HOUR,COUNTY_DESC,REPORT_TYPE,COUNT
0,Allegany,Injury Crash,22
0,Allegany,Property Damage Crash,82
0,Anne Arundel,Fatal Crash,12
0,Anne Arundel,Injury Crash,348
0,Anne Arundel,Property Damage Crash,1117
0,Baltimore,Fatal Crash,15
0,Baltimore,Injury Crash,685
0,Baltimore,Property Damage Crash,4231
0,Baltimore City,Fatal Crash,5
0,Baltimore City,Injury Crash,990
0,Baltimore City,Property Damage Crash,2931
0,Calvert,Fatal Crash,1
0,Calvert,Injury Crash,47
0,Calvert,Property Damage Crash,124
0,Caroline,Fatal Crash,2
0,Caroline,Injury Crash,20
0,Caroline,Property Damage Crash,42
0,Carroll,Fatal Crash,5
0,Carroll,Injury Crash,65
0,Carroll,Property Damage Crash,206
0,Cecil,Fatal Crash,3
0,Cecil,Injury Crash,70
0,Cecil,Property Damage Crash,238
0,Charles,Fatal Crash,4
0,Charles,Injury Crash,105
0,Charles,Property Damage Crash,370
0,Dorchester,Fatal Crash,1
0,Dorchester,Injury Crash,24
0,Dorchester,Property Damage Crash,58
0,Frederick,Fatal Crash,8
0,Frederick,Injury Crash,114
0,Frederick,Property Damage Crash,332
0,Garrett,Injury Crash,23
0,Garrett,Property Damage Crash,68
0,Harford,Fatal Crash,5
0,Harford,Injury Crash,78
0,Harford,Property Damage Crash,378
0,Howard,Fatal Crash,10
0,Howard,Injury Crash,144
0,Howard,Property Damage Crash,432
0,Kent,Fatal Crash,2
0,Kent,Injury Crash,8
0,Kent,Property Damage Crash,32
0,Montgomery,Fatal Crash,6
0,Montgomery,Injury Crash,424
0,Montgomery,Property Damage Crash,1289
0,Prince Georges,Fatal Crash,36
0,Prince Georges,Injury Crash,693
0,Prince Georges,Property Damage Crash,2750
0,Queen Annes,Fatal Crash,2
0,Queen Annes,Injury Crash,29
0,Queen Annes,Property Damage Crash,116
0,Somerset,Injury Crash,13
0,Somerset,Property Damage Crash,44
0,St. Marys,Fatal Crash,6
0,St. Marys,Injury Crash,79
0,St. Marys,Property Damage Crash,188
0,Talbot,Fatal Crash,2
0,Talbot,Injury Crash,21
0,Talbot,Property Damage Crash,106
0,Washington,Fatal Crash,3
0,Washington,Injury Crash,104
0,Washington,Property Damage Crash,304
0,Wicomico,Fatal Crash,3
0,Wicomico,Injury Crash,70
0,Wicomico,Property Damage Crash,236
0,Worcester,Fatal Crash,5
0,Worcester,Injury Crash,91
0,Worcester,Property Damage Crash,169
1,Allegany,Fatal Crash,3
1,Allegany,Injury Crash,17
1,Allegany,Property Damage Crash,67
1,Anne Arundel,Fatal Crash,11
1,Anne Arundel,Injury Crash,297
1,Anne Arundel,Property Damage Crash,1005
1,Baltimore,Fatal Crash,13
1,Baltimore,Injury Crash,564
1,Baltimore,Property Damage Crash,2472
1,Baltimore City,Fatal Crash,7
1,Baltimore City,Injury Crash,815
1,Baltimore City,Property Damage Crash,2498
1,Calvert,Fatal Crash,2
1,Calvert,Injury Crash,33
1,Calvert,Property Damage Crash,109
1,Caroline,Fatal Crash,1
1,Caroline,Injury Crash,16
1,Caroline,Property Damage Crash,47
1,Carroll,Fatal Crash,2
1,Carroll,Injury Crash,54
1,Carroll,Property Damage Crash,165
1,Cecil,Fatal Crash,6
1,Cecil,Injury Crash,48
1,Cecil,Property Damage Crash,200
1,Charles,Fatal Crash,7
1,Charles,Injury Crash,104
1,Charles,Property Damage Crash,338
1,Dorchester,Fatal Crash,1
1,Dorchester,Injury Crash,13
1,Dorchester,Property Damage Crash,60
1,Frederick,Fatal Crash,5
1,Frederick,Injury Crash,109
1,Frederick,Property Damage Crash,338
1,Garrett,Fatal Crash,1
1,Garrett,Injury Crash,19
1,Garrett,Property Damage Crash,48
1,Harford,Fatal Crash,6
1,Harford,Injury Crash,86
1,Harford,Property Damage Crash,262
1,Howard,Fatal Crash,7
1,Howard,Injury Crash,99
1,Howard,Property Damage Crash,359
1,Kent,Injury Crash,9
1,Kent,Property Damage Crash,28
1,Montgomery,Fatal Crash,11
1,Montgomery,Injury Crash,363
1,Montgomery,Property Damage Crash,1052
1,Prince Georges,Fatal Crash,26
1,Prince Georges,Injury Crash,612
1,Prince Georges,Property Damage Crash,2476
1,Queen Annes,Fatal Crash,1
1,Queen Annes,Injury Crash,31
1,Queen Annes,Property Damage Crash,72
1,Somerset,Fatal Crash,1
1,Somerset,Injury Crash,11
1,Somerset,Property Damage Crash,39
1,St. Marys,Fatal Crash,5
1,St. Marys,Injury Crash,67
1,St. Marys,Property Damage Crash,170
1,Talbot,Injury Crash,25
1,Talbot,Property Damage Crash,68
1,Washington,Fatal Crash,2
1,Washington,Injury Crash,80
1,Washington,Property Damage Crash,235
1,Wicomico,Fatal Crash,2
1,Wicomico,Injury Crash,75
1,Wicomico,Property Damage Crash,203
1,Worcester,Fatal Crash,2
1,Worcester,Injury Crash,47
1,Worcester,Property Damage Crash,203
2,Allegany,Fatal Crash,1
2,Allegany,Injury Crash,16
2,Allegany,Property Damage Crash,64
2,Anne Arundel,Fatal Crash,14
2,Anne Arundel,Injury Crash,254
2,Anne Arundel,Property Damage Crash,968
2,Baltimore,Fatal Crash,10
2,Baltimore,Injury Crash,537
2,Baltimore,Property Damage Crash,2278
2,Baltimore City,Fatal Crash,8
2,Baltimore City,Injury Crash,738
2,Baltimore City,Property Damage Crash,2431
2,Calvert,Fatal Crash,1
2,Calvert,Injury Crash,26
2,Calvert,Property Damage Crash,106
2,Caroline,Injury Crash,13
2,Caroline,Property Damage Crash,36
2,Carroll,Fatal Crash,1
2,Carroll,Injury Crash,28
2,Carroll,Property Damage Crash,132
2,Cecil,Fatal Crash,6
2,Cecil,Injury Crash,59
2,Cecil,Property Damage Crash,196
2,Charles,Fatal Crash,11
2,Charles,Injury Crash,75
2,Charles,Property Damage Crash,277
2,Dorchester,Fatal Crash,1
2,Dorchester,Injury Crash,21
2,Dorchester,Property Damage Crash,67
2,Frederick,Fatal Crash,5
2,Frederick,Injury Crash,80
2,Frederick,Property Damage Crash,271
2,Garrett,Fatal Crash,1
2,Garrett,Injury Crash,21
2,Garrett,Property Damage Crash,60
2,Harford,Fatal Crash,8
2,Harford,Injury Crash,79
2,Harford,Property Damage Crash,298
2,Howard,Fatal Crash,11
2,Howard,Injury Crash,101
2,Howard,Property Damage Crash,346
2,Kent,Injury Crash,7
2,Kent,Property Damage Crash,31
2,Montgomery,Fatal Crash,8
2,Montgomery,Injury Crash,326
2,Montgomery,Property Damage Crash,1009
2,Prince Georges,Fatal Crash,24
2,Prince Georges,Injury Crash,532
2,Prince Georges,Property Damage Crash,2312
2,Queen Annes,Fatal Crash,2
2,Queen Annes,Injury Crash,27
2,Queen Annes,Property Damage Crash,81
2,Somerset,Fatal Crash,1
2,Somerset,Injury Crash,13
2,Somerset,Property Damage Crash,34
2,St. Marys,Fatal Crash,3
2,St. Marys,Injury Crash,49
2,St. Marys,Property Damage Crash,156
2,Talbot,Injury Crash,13
2,Talbot,Property Damage Crash,74
2,Washington,Fatal Crash,6
2,Washington,Injury Crash,54
2,Washington,Property Damage Crash,220
2,Wicomico,Injury Crash,60
2,Wicomico,Property Damage Crash,212
2,Worcester,Fatal Crash,4
2,Worcester,Injury Crash,50
2,Worcester,Property Damage Crash,211
3,Allegany,Fatal Crash,1
3,Allegany,Injury Crash,25
3,Allegany,Property Damage Crash,50
3,Anne Arundel,Fatal Crash,9
